TrainLoss,TrainError,ValidError,NumIterations,DescentType,LearningRate,BatchSize,Layers,SubsetSize,InitStddev,BatchSize,Duration

# Keeping everything constant and assigning random normal-distributed weights
# with a deviation of 0.01 leads to highly varying results:
2.2765,0.5487,0.5495,20,gd,0.1,,[100_relu|10_None],10000,0.01,,20.65
2.2656,0.6138,0.6022,20,gd,0.1,,[100_relu|10_None],10000,0.01,,22.98
2.2727,0.6573,0.6639,20,gd,0.1,,[100_relu|10_None],10000,0.01,,26.22
2.2725,0.4490,0.4409,20,gd,0.1,,[100_relu|10_None],10000,0.01,,26.17
2.2712,0.6074,0.6062,20,gd,0.1,,[100_relu|10_None],10000,0.01,,42.05
2.2687,0.6135,0.6116,20,gd,0.1,,[100_relu|10_None],10000,0.01,,20.41

# Fixed initial weights from here on.
# Trying single intermediate layer with different number of units:
2.2771,0.5645,0.5622,20,gd,0.1,,[100_relu|10_None],10000,0.01,,20.38
2.2454,0.4568,0.4441,20,gd,0.1,,[200_relu|10_None],10000,0.01,,37.17
2.2219,0.4001,0.3826,20,gd,0.1,,[300_relu|10_None],10000,0.01,,65.76
2.1940,0.4130,0.4007,20,gd,0.1,,[400_relu|10_None],10000,0.01,,74.62
2.1665,0.3528,0.3348,20,gd,0.1,,[500_relu|10_None],10000,0.01,,90.43
2.1386,0.3385,0.3151,20,gd,0.1,,[600_relu|10_None],10000,0.01,,104.78
2.1209,0.3589,0.3352,20,gd,0.1,,[700_relu|10_None],10000,0.01,,122.88
2.0960,0.3456,0.3305,20,gd,0.1,,[784_relu|10_None],10000,0.01,,148.66
2.0903,0.3597,0.3367,20,gd,0.1,,[800_relu|10_None],10000,0.01,,141.19
2.0667,0.3324,0.3120,20,gd,0.1,,[900_relu|10_None],10000,0.01,,158.01
2.0522,0.3377,0.3190,20,gd,0.1,,[1000_relu|10_None],10000,0.01,,177.16
2.0166,0.3071,0.2797,20,gd,0.1,,[1200_relu|10_None],10000,0.01,,210.70
1.9630,0.2952,0.2754,20,gd,0.1,,[1400_relu|10_None],10000,0.01,,250.76
1.9285,0.2883,0.2608,20,gd,0.1,,[1600_relu|10_None],10000,0.01,,299.28

# Fixing first layer at 600 and adding additional layers with different number of units:
2.3013,0.8876,0.8936,20,gd,0.1,,[600_relu|100_relu|10_None],10000,0.01,,134.72
