Iteration 1, Training loss 2.3033, Training error 0.8750, Validation Error 0.8874
Iteration 2, Training loss 2.2975, Training error 0.8750, Validation Error 0.8874
Iteration 3, Training loss 2.2947, Training error 0.8125, Validation Error 0.8874
Iteration 4, Training loss 2.2931, Training error 0.8281, Validation Error 0.8874
Iteration 5, Training loss 2.3160, Training error 0.9375, Validation Error 0.8874
Iteration 6, Training loss 2.3085, Training error 0.8750, Validation Error 0.8874
Iteration 7, Training loss 2.3038, Training error 0.9062, Validation Error 0.8874
Iteration 8, Training loss 2.2892, Training error 0.8594, Validation Error 0.8874
Iteration 9, Training loss 2.3026, Training error 0.9062, Validation Error 0.8874
Iteration 10, Training loss 2.2959, Training error 0.8281, Validation Error 0.8874
Iteration 11, Training loss 2.3025, Training error 0.8594, Validation Error 0.8874
Iteration 12, Training loss 2.3066, Training error 0.9062, Validation Error 0.8874
Iteration 13, Training loss 2.2975, Training error 0.9219, Validation Error 0.8874
Iteration 14, Training loss 2.2948, Training error 0.8594, Validation Error 0.8874
Iteration 15, Training loss 2.2985, Training error 0.9375, Validation Error 0.8874
Iteration 16, Training loss 2.3048, Training error 0.9375, Validation Error 0.8874
Iteration 17, Training loss 2.2968, Training error 0.8906, Validation Error 0.8874
Iteration 18, Training loss 2.3046, Training error 0.9062, Validation Error 0.8874
Iteration 19, Training loss 2.3005, Training error 0.8594, Validation Error 0.8874
Iteration 20, Training loss 2.2894, Training error 0.8281, Validation Error 0.8874
