Iteration 1, Training loss 0.6931, Training accuracy 0.5534, Validation accuracy 0.7319
Iteration 2, Training loss 0.6924, Training accuracy 0.9470, Validation accuracy 0.7319
Iteration 3, Training loss 0.6920, Training accuracy 0.7422, Validation accuracy 0.7319
Iteration 4, Training loss 0.6910, Training accuracy 0.8270, Validation accuracy 0.7319
Iteration 5, Training loss 0.6901, Training accuracy 0.8143, Validation accuracy 0.7319
Iteration 6, Training loss 0.6877, Training accuracy 0.9742, Validation accuracy 0.7319
Iteration 7, Training loss 0.6850, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 8, Training loss 0.6858, Training accuracy 0.7059, Validation accuracy 0.7319
Iteration 9, Training loss 0.6788, Training accuracy 0.8649, Validation accuracy 0.7319
Iteration 10, Training loss 0.6745, Training accuracy 0.7323, Validation accuracy 0.7319
Iteration 11, Training loss 0.6560, Training accuracy 0.8955, Validation accuracy 0.7319
Iteration 12, Training loss 0.6313, Training accuracy 0.9473, Validation accuracy 0.7319
Iteration 13, Training loss 0.6089, Training accuracy 0.8482, Validation accuracy 0.7319
Iteration 14, Training loss 0.6184, Training accuracy 0.6055, Validation accuracy 0.7319
Iteration 15, Training loss 0.4462, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 16, Training loss 0.4536, Training accuracy 0.7584, Validation accuracy 0.7319
Iteration 17, Training loss 0.4867, Training accuracy 0.6936, Validation accuracy 0.7319
Iteration 18, Training loss 0.6461, Training accuracy 0.6285, Validation accuracy 0.7319
Iteration 19, Training loss 0.2978, Training accuracy 0.8433, Validation accuracy 0.7319
Iteration 20, Training loss 0.3000, Training accuracy 0.8452, Validation accuracy 0.7319
Iteration 21, Training loss 0.1456, Training accuracy 0.9482, Validation accuracy 0.7319
Iteration 22, Training loss 0.7454, Training accuracy 0.5891, Validation accuracy 0.7319
Iteration 23, Training loss 0.1815, Training accuracy 0.9445, Validation accuracy 0.7319
Iteration 24, Training loss 0.6165, Training accuracy 0.6073, Validation accuracy 0.7319
Iteration 25, Training loss 0.1744, Training accuracy 1.0000, Validation accuracy 0.7319
Iteration 26, Training loss 0.4934, Training accuracy 0.6774, Validation accuracy 0.7319
Iteration 27, Training loss 0.2111, Training accuracy 0.9648, Validation accuracy 0.7319
Iteration 28, Training loss 0.3628, Training accuracy 0.8017, Validation accuracy 0.7319
Iteration 29, Training loss 0.2817, Training accuracy 0.8887, Validation accuracy 0.7319
Iteration 30, Training loss 0.6647, Training accuracy 0.5669, Validation accuracy 0.7319
Iteration 31, Training loss 0.5059, Training accuracy 0.6719, Validation accuracy 0.7319
Iteration 32, Training loss 0.3537, Training accuracy 0.8044, Validation accuracy 0.7319
